Year,Average Poverty
1979,0.14176470588235296
1980,0.15080392156862746
1981,0.1538039215686275
1982,0.14188235294117646
1983,0.14019607843137255
1984,0.1382352941176471
1985,0.13252941176470587
1986,0.12786274509803922
1987,0.12658823529411767
1988,0.1328235294117647
1989,0.13678431372549021
1990,0.14233333333333334
1991,0.14350980392156867
1992,0.13233333333333333
1993,0.1312156862745098
1994,0.1306666666666667
1995,0.1275882352941176
1996,0.12398039215686275
1997,0.11454901960784312
1998,0.10866666666666665
1999,0.11368627450980393
2000,0.11794117647058824
2001,0.11850980392156864
2002,0.12113725490196078
2003,0.12270588235294118
2004,0.1185294117647059
2005,0.1180196078431373
2006,0.1250392156862745
2007,0.13594117647058826
2008,0.1425686274509804
2009,0.14307843137254905
2010,0.1430392156862745
2011,0.14009803921568628
2012,0.14170588235294113
2013,0.14062745098039223
2014,0.1293921568627451
2015,0.12452941176470589
2016,0.12129411764705884
2017,0.1213333333333334
2018,0.11458823529411769
2019,0.10233333333333335
2020,0.11201960784313728
