State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,0.053706858,0.031061538,0.019766363,0.000246981,0.025987735,0.012708079,0.018524362,-0.011451661,-0.001125544,-0.043413219,-0.014189741,-0.002021659,-0.129765454,-0.049407348,-0.032937357,0.043995333,0.04228809
Alaska,0.016608805,0.070120752,-0.007296241,-0.007746501,-0.078976694,-0.153562382,-0.120011733,-0.211885598,-0.027146472,-0.067356025,-0.064105544,-0.013160381,-0.106060287,0.028366793,0.110201668,0.186742143,0.152840548
Arizona,0.139990786,0.121171296,0.113803683,0.120569239,0.143113247,0.181079719,0.10901725,0.117931295,0.129825725,0.159609023,0.164308306,0.198260099,0.079441037,0.158717455,0.207164741,0.235861267,0.231186923
Arkansas,0.038356611,0.032707421,0.049830067,0.089047547,-0.003788567,-0.02633215,-0.026416796,-0.020236503,0.020192198,-0.024009419,-0.050730927,-0.025970676,-0.088126969,-0.135345597,-0.073366936,-0.000567617,0.014951819
California,-0.328602462,-0.352139003,-0.372220366,-0.394995043,-0.39821881,-0.424282353,-0.439303511,-0.511882774,-0.474279429,-0.493977906,-0.476608152,-0.366486301,-0.48540866,-0.466074951,-0.433887282,-0.40917671,-0.405684707
Colorado,0.256353224,0.240601315,0.23279239,0.280371778,0.277610333,0.290923849,0.292795032,0.262825776,0.255429809,0.161328965,0.224719921,0.292849426,0.218632657,0.286281993,0.333015733,0.340165383,0.334138598
Connecticut,0.029127445,0.024829365,-0.030607682,-0.041451234,-0.059779961,-0.044549743,-0.014247963,-0.079524557,-0.026147889,-0.022145425,-0.060225938,-0.073812702,-0.145056956,-0.071994148,-0.038863381,-0.019335164,-0.018007714
Delaware,0.016351825,0.061524933,0.029830979,0.025340919,-0.010109042,-0.090380334,-0.062359348,-0.10994788,-0.097621451,-0.118092759,-0.127097967,-0.158079678,-0.252772847,-0.190273848,-0.189046697,-0.132054126,-0.116766778
Florida,0.241887548,0.271280226,0.278371501,0.267420969,0.127756879,0.289373015,0.291413042,0.209990021,0.211438666,0.199378738,0.280036796,0.342389344,0.23127866,0.278132805,0.348562084,0.461424526,0.480501199
Georgia,0.087813031,0.084732029,0.048308212,0.045624577,0.035274457,0.011295896,0.032976342,0.057920936,0.148367486,0.159736555,0.155346246,0.187418917,0.060750244,0.077975681,0.117346659,0.185367064,0.183736591
Hawaii,-0.22201924,-0.211637615,-0.243883814,-0.25913354,-0.326594286,-0.374024184,-0.381099275,-0.376768743,-0.304343591,-0.339610884,-0.32489611,-0.41066274,-0.595993763,-0.572846395,-0.589035688,-0.58849614,-0.603664264
Idaho,0.067657642,0.075652312,0.059916827,0.075975159,0.085242413,0.100443485,0.133940371,0.11552175,0.147671632,0.149707019,0.140942995,0.177254656,0.0401811,0.083204284,0.145765096,0.162090278,0.147305533
Illinois,0.059024778,0.02674253,-0.030693469,-0.085653964,-0.141711895,-0.147776632,-0.127309713,-0.116499488,-0.146912559,-0.128352724,-0.208044492,-0.2467237,-0.336926239,-0.207893096,-0.109276775,-0.033934897,-0.02289671
Indiana,0.356701096,0.345154445,0.321504734,0.297086714,0.179026502,0.179399853,0.199646477,0.205389539,0.178451758,0.169966924,0.235482399,0.246524027,0.221634855,0.297623104,0.324491981,0.344397904,0.341682998
Iowa,0.18744015,0.167012158,0.163538354,0.155450127,0.165750749,0.147376106,0.156693648,0.171435163,0.13760818,0.100024192,0.178795591,0.208751024,0.109370498,0.100641209,0.06031971,0.057437399,0.042427399
Kansas,0.11051274,0.091000728,0.019616936,-0.025398744,-0.019979159,-0.011265769,0.082459915,0.085988901,0.131796647,0.074477008,0.092812253,0.122207906,0.031324554,0.146884966,0.201615432,0.228067163,0.215951058
Kentucky,0.059549009,0.020168312,-0.017588446,-0.021212729,-0.037972169,-0.104328741,-0.090222554,-0.097415708,-0.050500262,-0.014448992,-0.046933553,-0.003169138,-0.15407383,-0.169402856,-0.154119178,-0.06561104,-0.012176609
Louisiana,-0.075014722,-0.085448553,-0.125085929,-0.166451604,-0.205827673,-0.186741356,-0.186342166,-0.049271581,-0.001303707,0.000786693,0.009370898,0.017774312,-0.069551351,-0.044871303,0.001218465,0.065219222,0.015878069
Maine,0.001931904,-0.021488603,-0.054063758,-0.057536376,-0.065913356,-0.101881927,-0.047454863,-0.091203573,-0.015530178,-0.050487971,-0.032413689,0.029759945,-0.04863766,-0.06850267,-0.09321949,-0.049522909,-0.059549139
Maryland,-0.257319366,-0.248556082,-0.268916534,-0.239634709,-0.230423278,-0.250684807,-0.221536029,-0.257772875,-0.245486573,-0.291805335,-0.270586549,-0.22680855,-0.304562313,-0.353008291,-0.314983681,-0.239816411,-0.208895903
Massachusetts,0.185472084,0.111725877,0.09376588,0.091057791,0.096528628,0.101995643,0.089165819,-0.004443601,0.058144029,0.03536339,0.036181166,0.044525099,0.073622011,0.067153062,0.056969731,0.082640808,0.089248596
Michigan,0.082192296,0.060815986,0.0211322,0.012736299,-0.002540059,-0.014824633,0.001969202,-0.006304271,0.024826251,-0.007555874,0.029002862,0.113173988,0.05300001,0.076726521,0.079086774,0.163665607,0.158244347
Minnesota,-0.008833437,-0.001416061,0.000573533,0.080083989,0.046840742,0.020804794,0.043895759,0.023852496,0.03006474,-0.025868621,-0.055459214,-0.007250109,-0.148549706,-0.104323624,-0.063296075,-0.058249225,-0.035855136
Mississippi,-0.068266059,-0.059180583,-0.090493575,-0.119246913,-0.101110935,-0.081386192,-0.078457584,-0.107913956,-0.104572887,-0.12304727,-0.089129266,-0.06086149,-0.199583634,-0.190017024,-0.194535767,-0.102052874,-0.066449846
Missouri,0.157595303,0.146757711,0.137979471,0.203250408,0.185756461,0.227333821,0.244767767,0.253411752,0.270749173,0.235669443,0.256199691,0.251006328,0.158037013,0.157901056,0.150018377,0.19342117,0.20459624
Montana,0.09630455,0.105168042,0.101125005,0.074019344,0.068863083,0.084431482,0.078062602,0.09735612,0.061226434,0.092008295,0.073159318,0.095762888,-0.039260018,0.014275652,0.041770252,0.134566537,0.149792479
Nebraska,0.050376581,0.002132986,-0.06652566,-0.062761559,-0.056356412,-0.057308078,-0.014759212,0.034535098,0.06707299,0.068043047,0.023967719,0.121191808,-0.02247094,-0.04657574,-0.065871723,0.009557224,0.050710257
Nevada,0.354666797,0.356184244,0.340651909,0.331959817,0.324553172,0.350723745,0.303661164,0.253532686,0.209788328,0.156833533,0.190429531,0.205808468,0.132259686,0.169194738,0.222318646,0.279726797,0.324311985
New Hampshire,0.524722616,0.49017124,0.461600358,0.426660088,0.448555909,0.451999336,0.471308585,0.392044019,0.343279406,0.387673182,0.357391186,0.476905843,0.393799696,0.396458422,0.345519221,0.361296563,0.431746759
New Jersey,-0.149085766,-0.155422697,-0.191580315,-0.229489713,-0.297205751,-0.333901503,-0.345987261,-0.393725468,-0.376935142,-0.407792037,-0.385379245,-0.293080133,-0.384907198,-0.399480889,-0.379252407,-0.349556953,-0.357145044
New Mexico,-0.267132349,-0.235896155,-0.302992111,-0.278628754,-0.274647931,-0.291261197,-0.239741206,-0.169450163,-0.115545851,-0.106717487,-0.148989417,-0.103012166,-0.214952682,-0.231210646,-0.168312188,-0.074995763,-0.06776524
New York,-0.653468544,-0.659889596,-0.718208465,-0.747010335,-0.801673616,-0.791922005,-0.7621039,-0.794994367,-0.82239717,-0.82990371,-0.869004466,-0.74204038,-0.779844591,-0.820977219,-0.799219139,-0.81364699,-0.812991335
North Carolina,0.15650642,0.131590493,0.111811397,0.10010625,0.102012394,0.098441705,0.077779708,0.075310215,0.119357891,0.06025962,0.041597571,0.086497213,0.021811718,0.052190516,0.117117756,0.12389101,0.138194657
North Dakota,0.140450209,0.136506235,0.11109843,0.124290168,0.048170214,0.07051112,0.055094292,0.129969589,0.161137651,0.187216384,0.131706307,0.186187568,0.073748099,0.122900255,0.082083176,0.227484876,0.266151439
Ohio,-0.094284034,-0.125813985,-0.155483518,-0.10648107,-0.136581662,-0.110823789,-0.103787796,-0.101010234,-0.05312086,-0.058981588,-0.062403561,-0.023651509,-0.123176898,-0.085980645,-0.067001219,0.019267579,0.066323945
Oklahoma,-0.138504761,-0.09180317,-0.098581923,-0.050414596,-0.023077533,-0.007731908,0.023752926,0.038537418,0.068937225,-0.005357073,0.032411654,0.059885094,0.043620197,0.09387813,0.144305232,0.118138259,0.126877292
Oregon,-0.063163572,-0.064768322,-0.107956365,-0.130573253,-0.140451849,-0.126916821,-0.051710552,-0.046021688,-0.04756908,-0.141812114,-0.163954877,-0.13731623,-0.199289226,-0.198371869,-0.176282161,-0.123238963,-0.133394451
Pennsylvania,0.245098016,0.242733117,0.204343417,0.186629577,0.15270948,0.142104279,0.143241718,0.156206861,0.19649878,0.170522017,0.163486804,0.160352982,0.023530186,0.049939225,0.09735102,0.107930431,0.11629094
Rhode Island,0.048879793,0.048909692,0.0048844,-0.008411449,-0.040137133,-0.051102796,-0.018452382,-0.08812513,-0.092668502,-0.055199761,-0.038797091,-0.15654224,-0.20169193,-0.172343731,-0.091084466,-0.087071728,-0.087407698
South Carolina,-0.02226588,-0.012049708,-0.050020008,-0.069007179,-0.044716133,-0.037124184,-0.043395595,0.001321065,0.038095172,0.020022056,0.041902377,0.067001125,-0.079771733,-0.047437264,-0.003961889,0.030758613,0.032409788
