State,Year,Fiscal Policy,fprank,Regulatory Policy,rprank,Personal Freedom,pfrank,Economic Freedom,efrank,Overall Freedom,ofrank,"Economic, Chain","Overall, Chain",Overall victim cost:,"Regulatory, no RTW","Economic, no RTW","Overall, no RTW","Economic, non-federalized","Personal, non-federalized","Overall, non-federalized","Personal, Pro-Life","Overall, Pro-Life","Overall, Pro-Life, no RTW","Personal, Moderate Pro-Choice","Overall, Moderate Pro-Choice","Overall, Moderate Pro-Choice, no RTW","Personal, Strong Pro-Choice","Overall, Strong Pro-Choice","Overall, Strong Pro-Choice, no RTW"
Alabama,2000,0.096488462,17,0.090009734,22,-0.132791338,49,0.186498197,12,0.053706858,23,0.116160198,0.005474085,4.65046E+11,0.063206389,0.159694852,0.026903513,0.116160198,-0.110686113,0.005474085,-0.175446011,0.011052186,-0.015751159,-0.127712515,0.058785682,0.031982337,-0.133424109,0.053074088,0.026270743
Alaska,2000,-0.15912126,47,0.098684188,19,0.077045877,6,-0.060437072,38,0.016608805,32,-0.130687316,-0.046675589,Overall victim cost with abortion (pro-life):,0.121087848,-0.038033412,0.039012465,-0.130687316,0.084011726,-0.046675589,-0.180053897,-0.240490969,-0.218087309,0.063766964,0.003329892,0.025733552,0.08236384,0.021926768,0.044330428
Arizona,2000,-0.012769204,27,0.187897163,4,-0.035137173,30,0.175127959,14,0.139990786,15,0.102873865,0.089841918,7.42902E+11,0.161093818,0.148324614,0.113187441,0.102873865,-0.013031947,0.089841918,-0.332204198,-0.157076238,-0.183879584,-0.032225094,0.142902865,0.11609952,-0.030265875,0.144862084,0.118058739
Arkansas,2000,0.048996614,19,0.053662272,28,-0.064302275,38,0.102658886,23,0.038356611,28,0.063028603,0.020831554,Overall victim cost with abortion (moderate pro-choice):,0.026858927,0.075855541,0.011553266,0.063028603,-0.042197049,0.020831554,-0.14182489,-0.039166004,-0.065969349,-0.059223451,0.043435435,0.01663209,-0.064755094,0.037903792,0.011100447
California,2000,-0.042848187,36,-0.286138621,49,0.000384345,19,-0.328986807,49,-0.328602462,49,-0.334268585,-0.343045842,4.69829E+11,-0.263734961,-0.306583147,-0.306198802,-0.334268585,-0.008777257,-0.343045842,-0.246619886,-0.575606693,-0.553203033,0.003068681,-0.325918126,-0.303514466,0.005089037,-0.323897771,-0.301494111
Colorado,2000,0.178729897,6,0.076204379,24,0.001418948,18,0.254934276,8,0.256353224,6,0.235155956,0.243540754,Overall victim cost with abortion (Strong pro-choice):,0.098608039,0.277337936,0.278756884,0.235155956,0.008384798,0.243540754,-0.121073585,0.133860691,0.156264351,-0.009465477,0.245468799,0.267872459,0.001759374,0.25669365,0.27909731
Connecticut,2000,0.129583772,12,-0.057705489,40,-0.042750839,32,0.071878283,26,0.029127445,31,0.07429244,0.038507451,4.67299E+11,-0.035301829,0.094281943,0.051531105,0.07429244,-0.035784989,0.038507451,-0.289346581,-0.217468298,-0.195064638,-0.040066502,0.031811781,0.054215441,-0.038047506,0.033830777,0.056234437
Delaware,2000,-0.017210365,30,0.058468484,26,-0.024906294,28,0.041258119,31,0.016351825,33,-0.006229922,-0.024170366,,0.080872144,0.063661779,0.038755486,-0.006229922,-0.017940444,-0.024170366,-0.10284383,-0.061585711,-0.039182051,-0.01982747,0.021430649,0.043834309,-0.025357732,0.015900387,0.038304047
Florida,2000,0.220324713,4,0.044243416,31,-0.022680581,27,0.264568129,7,0.241887548,9,0.251282035,0.25070668,,0.017440071,0.237764784,0.215084202,0.251282035,-0.000575356,0.25070668,-0.13466265,0.129905479,0.103102134,-0.017601758,0.246966371,0.220163026,-0.022954808,0.241613321,0.214809976
Georgia,2000,0.040508808,20,0.135687234,13,-0.088383012,42,0.176196043,13,0.087813031,18,0.107631265,0.026214103,,0.108883889,0.149392698,0.061009686,0.107631265,-0.081417162,0.026214103,-0.16485866,0.011337383,-0.015465962,-0.081648706,0.094547337,0.067743992,-0.088899431,0.087296612,0.060493267
Hawaii,2000,-0.170833443,48,-0.016495715,38,-0.034690082,29,-0.187329158,46,-0.22201924,46,-0.28241762,-0.326269304,,0.005907945,-0.164925498,-0.19961558,-0.28241762,-0.043851684,-0.326269304,-0.291789856,-0.479119014,-0.456715354,-0.047968995,-0.235298153,-0.212894493,-0.029372119,-0.216701277,-0.194297617
Idaho,2000,-0.041311227,35,0.187368154,5,-0.078399284,40,0.146056926,18,0.067657642,20,0.080845621,0.024551563,,0.160564808,0.119253581,0.040854297,0.080845621,-0.056294059,0.024551563,0.619285868,0.765342794,0.738539449,-0.078343563,0.067713363,0.040910018,-0.084082351,0.061974575,0.03517123
Illinois,2000,0.152237219,9,0.021459926,35,-0.114672367,46,0.173697145,15,0.059024778,22,0.092627041,0.019368759,,0.043863586,0.196100805,0.081428438,0.092627041,-0.073258282,0.019368759,-0.226654436,-0.052957291,-0.030553631,-0.109593543,0.064103602,0.086507262,-0.114946594,0.058750551,0.081154211
Indiana,2000,0.126598588,14,0.141286853,12,0.088815655,5,0.267885441,6,0.356701096,3,0.200219765,0.296044276,,0.163690513,0.290289101,0.379104756,0.200219765,0.095824511,0.296044276,0.046160982,0.314046423,0.336450083,0.089209797,0.357095238,0.379498898,0.090857829,0.35874327,0.381146931
Iowa,2000,-0.025463319,34,0.181020618,7,0.031882851,14,0.155557299,17,0.18744015,10,0.110393042,0.149241743,,0.154217273,0.128753954,0.160636805,0.110393042,0.038848701,0.149241743,-0.046054686,0.109502614,0.082699269,0.036961675,0.192518974,0.165715629,0.031431413,0.186988712,0.160185367
Kansas,2000,-0.020305117,31,0.224034033,1,-0.093216176,43,0.203728916,10,0.11051274,16,0.151593307,0.080482356,,0.197230687,0.176925571,0.083709395,0.151593307,-0.07111095,0.080482356,-0.086609265,0.117119651,0.090316306,-0.090199804,0.113529112,0.086725767,-0.095803601,0.107925315,0.08112197
