Date,Volume,Open
1/1/21,"$43,503,516,563 ","$29,022 "
12/31/20,"$43,341,140,482 ","$28,837 "
12/30/20,"$38,081,840,206 ","$27,425 "
12/29/20,"$42,186,521,237 ","$27,125 "
12/28/20,"$56,654,980,596 ","$26,423 "
12/27/20,"$41,995,154,623 ","$26,476 "
12/26/20,"$36,622,874,230 ","$24,671 "
12/25/20,"$36,826,373,659 ","$23,760 "
12/24/20,"$42,917,744,240 ","$23,308 "
12/23/20,"$38,733,771,616 ","$23,795 "
12/22/20,"$38,423,396,405 ","$22,841 "
12/21/20,"$32,907,758,818 ","$23,518 "
12/20/20,"$35,252,972,900 ","$23,864 "
12/19/20,"$37,000,188,847 ","$23,121 "
12/18/20,"$60,693,764,159 ","$22,806 "
12/17/20,"$39,062,639,738 ","$21,318 "
12/16/20,"$24,173,322,660 ","$19,432.36 "
12/15/20,"$21,638,023,120 ","$19,259.97 "
12/14/20,"$23,550,581,096 ","$19,151.13 "
12/13/20,"$21,918,803,314 ","$18,807.10 "
12/12/20,"$26,080,197,328 ","$18,058.03 "
12/11/20,"$24,092,658,534 ","$18,262.06 "
12/10/20,"$29,806,757,749 ","$18,564.99 "
12/9/20,"$26,799,991,796 ","$18,336.51 "
12/8/20,"$22,034,483,384 ","$19,198.81 "
12/7/20,"$21,832,193,873 ","$19,325.55 "
12/6/20,"$23,333,284,386 ","$19,139.11 "
12/5/20,"$26,369,871,383 ","$18,711.23 "
12/4/20,"$24,342,606,871 ","$19,435.20 "
12/3/20,"$28,923,102,075 ","$19,208.40 "
12/2/20,"$38,614,628,144 ","$18,857.42 "
12/1/20,"$36,160,827,241 ","$19,609.52 "
11/30/20,"$23,940,328,529 ","$18,169.95 "
11/29/20,"$24,501,260,966 ","$17,718.97 "
11/28/20,"$30,680,336,583 ","$17,140.28 "
11/27/20,"$48,738,957,777 ","$17,138.03 "
11/26/20,"$32,146,102,840 ","$18,753.29 "
11/25/20,"$49,429,532,567 ","$19,091.52 "
11/24/20,"$33,389,683,851 ","$18,360.69 "
11/23/20,"$33,010,231,294 ","$18,390.61 "
11/22/20,"$31,201,880,852 ","$18,689.53 "
11/21/20,"$28,731,271,104 ","$18,628.81 "
11/20/20,"$30,586,797,552 ","$17,819.76 "
11/19/20,"$40,089,857,655 ","$17,829.93 "
11/18/20,"$31,572,384,446 ","$17,651.82 "
11/17/20,"$24,606,359,052 ","$16,714.40 "
11/16/20,"$19,184,714,603 ","$15,984.67 "
11/15/20,"$22,096,608,221 ","$16,095.56 "
11/14/20,"$24,826,304,420 ","$16,326.81 "
11/13/20,"$28,001,128,791 ","$16,265.15 "
11/12/20,"$23,990,613,793 ","$15,686.91 "
11/11/20,"$21,918,753,733 ","$15,278.71 "
11/10/20,"$29,501,754,043 ","$15,335.34 "
11/9/20,"$24,082,570,972 ","$15,496.32 "
11/8/20,"$30,369,855,795 ","$14,818.46 "
11/7/20,"$34,523,587,705 ","$15,548.31 "
11/6/20,"$36,313,255,719 ","$15,553.33 "
11/5/20,"$25,857,225,138 ","$14,101.72 "
11/4/20,"$22,602,862,338 ","$13,989.98 "
11/3/20,"$22,630,851,230 ","$13,558.36 "
11/2/20,"$19,771,957,708 ","$13,720.36 "
11/1/20,"$22,691,200,479 ","$13,778.64 "
10/31/20,"$23,482,756,915 ","$13,537.17 "
10/30/20,"$22,860,841,954 ","$13,441.88 "
10/29/20,"$26,825,856,788 ","$13,283.00 "
10/28/20,"$23,918,511,528 ","$13,655.19 "
10/27/20,"$21,507,619,986 ","$13,060.79 "
10/26/20,"$18,998,745,579 ","$13,021.41 "
10/25/20,"$19,302,801,175 ","$13,106.05 "
10/24/20,"$21,379,873,278 ","$12,928.07 "
10/23/20,"$25,070,864,647 ","$12,951.04 "
10/22/20,"$29,314,287,990 ","$12,806.44 "
10/21/20,"$21,431,994,056 ","$11,908.71 "
10/20/20,"$18,121,468,516 ","$11,752.15 "
10/19/20,"$15,569,792,414 ","$11,495.90 "
10/18/20,"$15,650,920,221 ","$11,365.81 "
10/17/20,"$20,436,703,034 ","$11,319.10 "
10/16/20,"$20,511,481,707 ","$11,495.58 "
10/15/20,"$20,441,486,195 ","$11,435.57 "
10/14/20,"$19,556,025,069 ","$11,426.11 "
10/13/20,"$20,957,733,314 ","$11,543.18 "
10/12/20,"$16,270,141,990 ","$11,377.81 "
10/11/20,"$19,496,631,246 ","$11,286.54 "
10/10/20,"$19,254,933,802 ","$11,063.25 "
10/9/20,"$19,767,968,267 ","$10,888.67 "
10/8/20,"$17,222,472,600 ","$10,668.01 "
10/7/20,"$19,419,734,685 ","$10,605.96 "
10/6/20,"$17,853,484,006 ","$10,784.95 "
10/5/20,"$16,029,160,488 ","$10,670.70 "
10/4/20,"$16,039,831,145 ","$10,546.66 "
10/3/20,"$21,258,724,984 ","$10,572.67 "
10/2/20,"$20,889,752,500 ","$10,627.98 "
10/1/20,"$18,558,607,663 ","$10,770.88 "
9/30/20,"$18,308,943,801 ","$10,837.52 "
9/29/20,"$19,869,963,340 ","$10,672.03 "
9/28/20,"$17,639,951,628 ","$10,765.30 "
9/27/20,"$16,886,146,730 ","$10,743.19 "
9/26/20,"$19,119,761,059 ","$10,681.99 "
9/25/20,"$21,348,447,554 ","$10,726.53 "
9/24/20,"$19,981,974,722 ","$10,223.78 "
9/23/20,"$19,866,578,109 ","$10,527.59 "
9/22/20,"$23,757,059,692 ","$10,439.52 "
9/21/20,"$20,161,733,907 ","$10,923.33 "
9/20/20,"$18,334,274,060 ","$11,084.00 "
9/19/20,"$20,681,771,888 ","$10,927.15 "
9/18/20,"$23,547,167,125 ","$10,938.00 "
9/17/20,"$24,459,086,809 ","$10,952.25 "
9/16/20,"$23,802,088,944 ","$10,787.58 "
9/15/20,"$23,526,143,436 ","$10,661.10 "
9/14/20,"$21,057,424,433 ","$10,328.87 "
9/13/20,"$19,955,498,078 ","$10,439.38 "
9/12/20,"$20,796,810,116 ","$10,378.22 "
9/11/20,"$77,545,788,531 ","$10,342.16 "
9/10/20,"$21,357,083,446 ","$10,230.15 "
9/9/20,"$47,780,699,209 ","$10,125.01 "
9/8/20,"$26,560,146,962 ","$10,359.45 "
9/7/20,"$28,801,019,507 ","$10,260.02 "
9/6/20,"$56,430,042,199 ","$10,177.79 "
9/5/20,"$27,623,487,077 ","$10,484.47 "
9/4/20,"$49,411,126,241 ","$10,197.46 "
9/3/20,"$26,038,738,389 ","$11,418.25 "
9/2/20,"$25,232,603,062 ","$11,895.23 "
9/1/20,"$21,077,276,618 ","$11,672.32 "
8/31/20,"$19,909,556,667 ","$11,701.00 "
8/30/20,"$18,415,439,614 ","$11,481.48 "
8/29/20,"$19,271,253,871 ","$11,519.12 "
8/28/20,"$21,595,917,446 ","$11,300.40 "
8/27/20,"$20,869,928,786 ","$11,465.00 "
8/26/20,"$23,423,332,919 ","$11,350.75 "
8/25/20,"$20,061,559,392 ","$11,758.83 "
8/24/20,"$18,467,219,109 ","$11,647.93 "
8/23/20,"$19,572,783,954 ","$11,676.39 "
8/22/20,"$23,406,354,443 ","$11,515.12 "
8/21/20,"$20,353,349,055 ","$11,861.84 "
8/20/20,"$23,384,200,656 ","$11,733.28 "
8/19/20,"$24,825,715,159 ","$11,949.61 "
8/18/20,"$25,481,896,191 ","$12,272.47 "
8/17/20,"$19,209,711,614 ","$11,901.78 "
8/16/20,"$21,285,690,553 ","$11,864.91 "
8/15/20,"$21,650,925,952 ","$11,777.39 "
8/14/20,"$24,755,770,184 ","$11,817.16 "
8/13/20,"$22,803,776,235 ","$11,579.87 "
8/12/20,"$24,448,699,831 ","$11,398.67 "
8/11/20,"$24,145,919,191 ","$11,862.94 "
8/10/20,"$17,051,550,191 ","$11,682.85 "
8/9/20,"$17,286,825,185 ","$11,739.13 "
8/8/20,"$21,624,736,673 ","$11,571.49 "
8/7/20,"$21,793,317,051 ","$11,768.13 "
8/6/20,"$22,359,870,185 ","$11,719.26 "
8/5/20,"$20,527,193,171 ","$11,181.92 "
8/4/20,"$20,583,344,057 ","$11,230.91 "
8/3/20,"$27,584,591,853 ","$11,066.31 "
8/2/20,"$26,198,946,496 ","$11,812.09 "
8/1/20,"$22,329,797,905 ","$11,325.55 "
7/31/20,"$22,265,381,996 ","$11,116.31 "
7/30/20,"$23,642,111,784 ","$11,093.61 "
7/29/20,"$27,637,575,180 ","$10,904.92 "
7/28/20,"$34,694,788,844 ","$10,962.26 "
7/27/20,"$19,713,211,085 ","$9,925.75 "
7/26/20,"$36,726,067,828 ","$9,691.83 "
7/25/20,"$35,810,926,085 ","$9,535.94 "
7/24/20,"$26,966,148,756 ","$9,589.82 "
7/23/20,"$19,702,428,931 ","$9,514.30 "
7/22/20,"$20,048,075,731 ","$9,384.38 "
7/21/20,"$17,080,393,205 ","$9,163.16 "
7/20/20,"$16,085,385,662 ","$9,202.62 "
7/19/20,"$15,638,459,043 ","$9,168.40 "
7/18/20,"$16,500,659,022 ","$9,156.28 "
