Date,Volume,Open
1/1/21,"$18,166,112,098 ",$738.62 
12/31/20,"$13,293,869,467 ",$752.86 
12/30/20,"$17,170,428,248 ",$735.59 
12/29/20,"$22,707,049,400 ",$732.96 
12/28/20,"$24,721,301,580 ",$689.66 
12/27/20,"$14,640,527,408 ",$636.74 
12/26/20,"$13,125,875,206 ",$626.46 
12/25/20,"$15,132,872,520 ",$612.88 
12/24/20,"$16,795,838,162 ",$587.96 
12/23/20,"$11,548,425,749 ",$634.98 
12/22/20,"$14,563,648,896 ",$610.43 
12/21/20,"$12,845,420,666 ",$639.52 
12/20/20,"$14,703,775,003 ",$659.32 
12/19/20,"$16,512,361,339 ",$654.42 
12/18/20,"$19,729,196,034 ",$644.07 
12/17/20,"$14,781,462,845 ",$635.96 
12/16/20,"$10,160,486,193 ",$589.07 
12/15/20,"$7,794,572,085 ",$585.54 
12/14/20,"$9,082,894,202 ",$590.32 
12/13/20,"$9,511,330,148 ",$568.36 
12/12/20,"$11,334,198,381 ",$545.98 
12/11/20,"$11,590,043,392 ",$560.45 
12/10/20,"$14,024,278,560 ",$573.90 
12/9/20,"$13,501,656,448 ",$554.33 
12/8/20,"$10,010,900,863 ",$592.39 
12/7/20,"$11,453,823,478 ",$601.97 
12/6/20,"$11,764,206,189 ",$595.92 
12/5/20,"$14,326,184,164 ",$571.19 
12/4/20,"$12,249,197,831 ",$616.51 
12/3/20,"$14,839,044,995 ",$598.76 
12/2/20,"$23,557,071,520 ",$589.58 
12/1/20,"$18,811,269,167 ",$612.26 
11/30/20,"$13,623,124,682 ",$574.75 
11/29/20,"$9,637,463,880 ",$537.39 
11/28/20,"$14,714,678,172 ",$517.55 
11/27/20,"$25,993,581,649 ",$518.47 
11/26/20,"$15,178,975,819 ",$568.28 
11/25/20,"$19,964,356,486 ",$602.67 
11/24/20,"$22,868,894,446 ",$608.27 
11/23/20,"$20,803,203,331 ",$560.51 
11/22/20,"$17,270,632,325 ",$548.84 
11/21/20,"$15,567,496,837 ",$508.79 
11/20/20,"$10,960,245,344 ",$471.32 
11/19/20,"$15,390,748,757 ",$479.44 
11/18/20,"$12,534,266,982 ",$482.20 
11/17/20,"$9,874,800,384 ",$461.37 
11/16/20,"$8,946,780,761 ",$449.21 
11/15/20,"$9,774,490,046 ",$462.72 
11/14/20,"$10,814,357,418 ",$475.97 
11/13/20,"$11,096,201,853 ",$462.21 
11/12/20,"$11,456,937,854 ",$463.18 
11/11/20,"$7,873,172,433 ",$449.82 
11/10/20,"$12,036,099,592 ",$445.05 
11/9/20,"$11,155,033,976 ",$455.36 
11/8/20,"$15,146,746,572 ",$435.42 
11/7/20,"$16,264,349,017 ",$454.65 
11/6/20,"$13,606,373,471 ",$415.93 
11/5/20,"$11,648,560,618 ",$401.73 
11/4/20,"$9,513,314,551 ",$387.62 
11/3/20,"$8,492,071,098 ",$383.85 
11/2/20,"$8,655,139,278 ",$394.94 
11/1/20,"$9,009,356,074 ",$385.84 
10/31/20,"$10,598,788,555 ",$382.90 
10/30/20,"$10,294,153,383 ",$386.45 
10/29/20,"$11,312,414,333 ",$388.88 
10/28/20,"$10,384,433,737 ",$403.53 
10/27/20,"$14,982,520,071 ",$393.38 
10/26/20,"$8,489,563,012 ",$406.16 
10/25/20,"$9,333,976,948 ",$411.96 
10/24/20,"$11,171,063,369 ",$408.89 
10/23/20,"$12,229,478,489 ",$413.20 
10/22/20,"$12,728,437,764 ",$391.17 
10/21/20,"$7,492,023,939 ",$368.23 
10/20/20,"$8,995,049,005 ",$379.64 
10/19/20,"$7,527,761,590 ",$378.05 
10/18/20,"$8,087,278,469 ",$368.65 
10/17/20,"$9,375,570,544 ",$365.99 
10/16/20,"$10,155,629,419 ",$377.16 
10/15/20,"$10,673,398,920 ",$379.21 
10/14/20,"$9,741,612,768 ",$381.17 
10/13/20,"$12,458,841,249 ",$387.26 
10/12/20,"$8,000,631,028 ",$374.50 
10/11/20,"$10,673,988,208 ",$370.47 
10/10/20,"$11,301,702,589 ",$365.34 
10/9/20,"$9,330,978,624 ",$350.06 
10/8/20,"$8,044,228,156 ",$341.44 
10/7/20,"$10,280,978,397 ",$340.62 
10/6/20,"$9,285,381,015 ",$353.60 
10/5/20,"$8,905,022,839 ",$352.46 
10/4/20,"$8,933,121,301 ",$345.99 
10/3/20,"$12,194,440,258 ",$345.91 
10/2/20,"$11,835,729,248 ",$353.20 
10/1/20,"$8,037,484,325 ",$359.60 
9/30/20,"$9,708,794,839 ",$359.43 
9/29/20,"$9,818,467,157 ",$354.43 
9/28/20,"$9,973,839,925 ",$357.07 
9/27/20,"$10,859,942,552 ",$354.26 
9/26/20,"$10,740,036,294 ",$351.33 
9/25/20,"$12,209,550,797 ",$348.82 
9/24/20,"$9,839,917,613 ",$321.08 
9/23/20,"$11,967,106,211 ",$343.92 
9/22/20,"$14,837,815,990 ",$341.28 
9/21/20,"$11,369,621,273 ",$370.97 
9/20/20,"$11,046,298,234 ",$385.47 
9/19/20,"$9,883,257,471 ",$383.17 
9/18/20,"$16,748,693,290 ",$388.80 
9/17/20,"$13,298,202,038 ",$365.13 
9/16/20,"$12,209,389,923 ",$364.69 
9/15/20,"$14,124,838,468 ",$376.39 
9/14/20,"$13,172,306,579 ",$365.70 
9/13/20,"$11,465,259,433 ",$387.72 
9/12/20,"$12,937,594,459 ",$373.91 
9/11/20,"$74,747,424,441 ",$367.64 
9/10/20,"$13,120,851,004 ",$351.23 
9/9/20,"$14,799,132,843 ",$337.85 
9/8/20,"$14,769,191,934 ",$351.88 
9/7/20,"$21,920,007,829 ",$352.99 
9/6/20,"$22,254,663,654 ",$334.47 
9/5/20,"$10,260,946,593 ",$387.90 
9/4/20,"$17,364,384,113 ",$383.69 
9/3/20,"$19,315,593,283 ",$439.35 
9/2/20,"$18,804,560,687 ",$475.68 
9/1/20,"$14,228,693,736 ",$435.69 
8/31/20,"$12,945,668,315 ",$428.30 
8/30/20,"$9,631,959,320 ",$399.37 
8/29/20,"$10,196,208,352 ",$395.14 
8/28/20,"$10,466,849,104 ",$381.84 
8/27/20,"$10,454,041,361 ",$385.75 
8/26/20,"$12,857,413,913 ",$383.66 
8/25/20,"$11,007,565,810 ",$408.27 
8/24/20,"$9,775,318,835 ",$390.79 
8/23/20,"$10,612,983,427 ",$395.89 
8/22/20,"$12,518,435,194 ",$386.82 
8/21/20,"$10,564,357,238 ",$416.47 
8/20/20,"$12,854,733,825 ",$406.57 
8/19/20,"$12,062,999,738 ",$422.11 
8/18/20,"$11,697,848,304 ",$430.03 
8/17/20,"$12,680,404,379 ",$433.43 
8/16/20,"$10,265,309,386 ",$432.65 
8/15/20,"$15,546,677,423 ",$438.76 
8/14/20,"$17,422,050,836 ",$427.49 
8/13/20,"$12,808,587,804 ",$387.50 
8/12/20,"$13,124,713,654 ",$379.17 
8/11/20,"$12,717,549,263 ",$395.21 
8/10/20,"$5,940,323,179 ",$389.62 
8/9/20,"$7,446,547,698 ",$391.48 
8/8/20,"$12,469,778,425 ",$379.14 
8/7/20,"$11,175,559,421 ",$394.54 
8/6/20,"$10,578,439,440 ",$400.18 
8/5/20,"$12,113,993,540 ",$389.38 
8/4/20,"$11,174,150,665 ",$386.25 
8/3/20,"$15,202,899,455 ",$370.73 
8/2/20,"$15,379,516,252 ",$387.94 
8/1/20,"$11,638,423,647 ",$346.00 
7/31/20,"$10,534,706,858 ",$334.74 
7/30/20,"$10,343,143,710 ",$317.54 
7/29/20,"$12,462,060,871 ",$316.41 
7/28/20,"$15,060,479,190 ",$320.48 
7/27/20,"$10,227,817,626 ",$310.52 
