Category: All categories

Week,Bitcoin: (United States),Ethereum: (United States),dogecoin: (United States)
2017-01-01,6,<1,<1
2017-01-08,4,<1,<1
2017-01-15,3,<1,<1
2017-01-22,3,<1,<1
2017-01-29,3,<1,<1
2017-02-05,3,<1,<1
2017-02-12,3,<1,<1
2017-02-19,4,<1,<1
2017-02-26,4,1,<1
2017-03-05,5,<1,<1
2017-03-12,4,1,<1
2017-03-19,4,1,<1
2017-03-26,3,1,<1
2017-04-02,4,1,<1
2017-04-09,3,1,<1
2017-04-16,3,1,<1
2017-04-23,4,1,<1
2017-04-30,5,2,<1
2017-05-07,7,1,<1
2017-05-14,8,1,<1
2017-05-21,17,6,<1
2017-05-28,10,4,<1
2017-06-04,10,5,<1
2017-06-11,11,7,<1
2017-06-18,9,6,<1
2017-06-25,8,5,<1
2017-07-02,6,3,<1
2017-07-09,7,4,<1
2017-07-16,9,4,<1
2017-07-23,8,2,<1
2017-07-30,12,2,<1
2017-08-06,12,3,<1
2017-08-13,16,3,<1
2017-08-20,12,2,<1
2017-08-27,12,3,<1
2017-09-03,13,2,<1
2017-09-10,15,2,<1
2017-09-17,12,2,<1
2017-09-24,9,2,<1
2017-10-01,9,1,<1
2017-10-08,14,2,<1
2017-10-15,14,2,<1
2017-10-22,15,2,<1
2017-10-29,22,2,<1
2017-11-05,23,3,<1
2017-11-12,26,2,<1
2017-11-19,24,4,<1
2017-11-26,67,6,<1
2017-12-03,96,7,<1
2017-12-10,87,9,1
2017-12-17,100,8,1
2017-12-24,59,5,1
2017-12-31,41,7,1
2018-01-07,40,9,2
2018-01-14,52,7,1
2018-01-21,34,4,1
2018-01-28,37,4,<1
2018-02-04,45,4,<1
2018-02-11,24,2,<1
2018-02-18,20,2,<1
2018-02-25,16,2,<1
2018-03-04,16,2,<1
2018-03-11,17,2,<1
2018-03-18,15,2,<1
2018-03-25,16,2,<1
2018-04-01,15,2,<1
2018-04-08,14,1,<1
2018-04-15,12,1,<1
2018-04-22,13,2,<1
2018-04-29,11,2,<1
2018-05-06,11,2,<1
2018-05-13,10,1,<1
2018-05-20,10,1,<1
2018-05-27,9,1,<1
2018-06-03,8,1,<1
2018-06-10,12,1,<1
2018-06-17,10,1,<1
2018-06-24,11,1,<1
2018-07-01,8,1,<1
2018-07-08,8,1,<1
2018-07-15,10,1,1
2018-07-22,10,1,<1
2018-07-29,9,1,<1
2018-08-05,10,1,<1
2018-08-12,10,2,<1
2018-08-19,8,1,<1
2018-08-26,8,1,1
2018-09-02,9,1,1
2018-09-09,8,1,1
2018-09-16,7,1,<1
2018-09-23,6,1,<1
2018-09-30,6,1,<1
2018-10-07,6,1,<1
2018-10-14,6,1,<1
2018-10-21,5,1,<1
2018-10-28,6,1,<1
2018-11-04,5,1,<1
2018-11-11,8,1,<1
2018-11-18,11,1,<1
2018-11-25,12,1,<1
2018-12-02,10,1,<1
2018-12-09,9,1,<1
2018-12-16,9,1,<1
2018-12-23,8,1,<1
2018-12-30,7,1,<1
2019-01-06,7,1,<1
2019-01-13,6,1,<1
2019-01-20,5,<1,<1
2019-01-27,5,<1,<1
2019-02-03,6,<1,<1
2019-02-10,5,<1,<1
2019-02-17,6,1,<1
2019-02-24,6,1,<1
2019-03-03,5,<1,<1
2019-03-10,5,<1,<1
2019-03-17,5,<1,<1
2019-03-24,5,<1,<1
2019-03-31,10,1,1
2019-04-07,8,1,<1
2019-04-14,7,<1,<1
2019-04-21,7,<1,<1
2019-04-28,6,<1,<1
2019-05-05,9,<1,<1
2019-05-12,15,1,<1
2019-05-19,11,1,<1
2019-05-26,12,1,<1
2019-06-02,10,<1,<1
2019-06-09,8,<1,<1
2019-06-16,14,1,<1
2019-06-23,23,1,<1
2019-06-30,13,1,<1
2019-07-07,13,1,<1
2019-07-14,13,2,<1
2019-07-21,9,<1,<1
2019-07-28,9,<1,<1
2019-08-04,11,<1,<1
2019-08-11,9,<1,<1
2019-08-18,8,<1,<1
2019-08-25,8,<1,<1
2019-09-01,7,<1,<1
2019-09-08,6,<1,<1
2019-09-15,6,1,<1
2019-09-22,9,<1,<1
2019-09-29,7,<1,<1
2019-10-06,6,<1,<1
2019-10-13,6,<1,<1
2019-10-20,8,<1,<1
2019-10-27,8,<1,<1
2019-11-03,7,<1,<1
2019-11-10,6,<1,<1
2019-11-17,7,<1,<1
2019-11-24,7,<1,<1
2019-12-01,6,<1,<1
2019-12-08,6,<1,<1
2019-12-15,6,<1,<1
2019-12-22,6,<1,<1
2019-12-29,6,<1,<1
2020-01-05,7,<1,<1
2020-01-12,7,1,<1
2020-01-19,7,<1,<1
2020-01-26,7,1,<1
2020-02-02,7,1,<1
2020-02-09,9,1,<1
2020-02-16,8,1,<1
2020-02-23,8,1,<1
2020-03-01,7,1,<1
2020-03-08,13,1,<1
2020-03-15,13,<1,<1
2020-03-22,10,1,<1
2020-03-29,8,<1,<1
2020-04-05,8,1,<1
2020-04-12,8,<1,<1
2020-04-19,8,1,<1
2020-04-26,11,1,<1
2020-05-03,12,1,<1
2020-05-10,15,1,<1
2020-05-17,9,1,<1
2020-05-24,8,1,<1
2020-05-31,8,1,<1
2020-06-07,8,1,<1
2020-06-14,7,1,<1
2020-06-21,7,1,<1
2020-06-28,7,1,<1
2020-07-05,7,1,4
2020-07-12,8,<1,1
2020-07-19,7,1,1
2020-07-26,12,2,<1
2020-08-02,11,2,<1
2020-08-09,9,1,<1
2020-08-16,9,1,<1
2020-08-23,7,1,<1
2020-08-30,8,1,<1
2020-09-06,7,1,<1
2020-09-13,6,1,<1
2020-09-20,6,1,<1
2020-09-27,6,1,<1
2020-10-04,6,1,<1
2020-10-11,6,1,<1
2020-10-18,10,1,<1
2020-10-25,10,1,<1
2020-11-01,10,1,<1
2020-11-08,11,1,<1
2020-11-15,18,2,<1
2020-11-22,19,2,<1
2020-11-29,17,2,<1
2020-12-06,13,1,<1
2020-12-13,23,2,<1
2020-12-20,22,2,1
2020-12-27,33,4,3
