Week,Bitcoin,Ether,Dogecoin
1/1/17,7,<1,<1
1/8/17,5,<1,<1
1/15/17,4,<1,<1
1/22/17,4,<1,<1
1/29/17,4,<1,<1
2/5/17,5,<1,<1
2/12/17,4,<1,<1
2/19/17,5,<1,<1
2/26/17,6,1,<1
3/5/17,7,<1,<1
3/12/17,6,1,<1
3/19/17,5,1,<1
3/26/17,5,1,<1
4/2/17,5,1,<1
4/9/17,5,1,<1
4/16/17,5,1,<1
4/23/17,5,1,<1
4/30/17,7,2,<1
5/7/17,10,1,<1
5/14/17,11,2,<1
5/21/17,19,5,<1
5/28/17,12,4,<1
6/4/17,12,4,<1
6/11/17,13,7,<1
6/18/17,10,6,<1
6/25/17,11,5,<1
7/2/17,9,3,<1
7/9/17,10,4,<1
7/16/17,12,4,<1
7/23/17,11,3,<1
7/30/17,15,2,<1
8/6/17,15,3,<1
8/13/17,19,3,<1
8/20/17,16,3,<1
8/27/17,17,3,<1
9/3/17,18,3,<1
9/10/17,21,3,<1
9/17/17,16,2,<1
9/24/17,12,2,<1
10/1/17,12,2,<1
10/8/17,19,2,<1
10/15/17,19,3,<1
10/22/17,21,2,<1
10/29/17,28,3,<1
11/5/17,29,3,<1
11/12/17,30,3,<1
11/19/17,27,4,<1
11/26/17,66,6,1
12/3/17,91,7,1
12/10/17,85,10,1
12/17/17,100,9,2
12/24/17,63,6,1
12/31/17,47,7,2
1/7/18,45,9,2
1/14/18,58,7,1
1/21/18,37,4,1
1/28/18,40,5,1
2/4/18,47,4,1
2/11/18,27,3,1
2/18/18,25,3,<1
2/25/18,19,2,<1
3/4/18,19,2,<1
3/11/18,19,2,<1
3/18/18,18,2,<1
3/25/18,18,2,<1
4/1/18,17,2,<1
4/8/18,16,2,<1
4/15/18,15,2,<1
4/22/18,15,2,<1
4/29/18,13,2,<1
5/6/18,13,2,<1
5/13/18,12,1,<1
5/20/18,11,1,<1
5/27/18,10,1,<1
6/3/18,9,1,<1
6/10/18,12,1,<1
6/17/18,10,1,<1
6/24/18,11,1,<1
7/1/18,10,1,<1
7/8/18,9,1,<1
7/15/18,11,1,<1
7/22/18,12,1,<1
7/29/18,11,1,<1
8/5/18,11,1,<1
8/12/18,11,2,<1
8/19/18,10,1,<1
8/26/18,10,1,1
9/2/18,11,1,1
9/9/18,10,1,1
9/16/18,9,1,<1
9/23/18,9,1,<1
9/30/18,8,1,<1
10/7/18,8,1,<1
10/14/18,8,1,<1
10/21/18,7,1,<1
10/28/18,8,1,<1
11/4/18,8,1,<1
11/11/18,10,1,<1
11/18/18,14,1,<1
11/25/18,14,1,<1
12/2/18,12,1,<1
12/9/18,10,1,<1
12/16/18,11,1,<1
12/23/18,10,1,<1
12/30/18,9,1,<1
1/6/19,9,1,<1
1/13/19,8,1,<1
1/20/19,7,1,<1
1/27/19,7,1,<1
2/3/19,8,1,<1
2/10/19,7,1,<1
2/17/19,8,1,<1
2/24/19,7,1,<1
3/3/19,7,1,<1
3/10/19,7,1,<1
3/17/19,7,1,<1
3/24/19,7,1,<1
3/31/19,12,1,<1
4/7/19,10,1,<1
4/14/19,8,1,<1
4/21/19,9,1,<1
4/28/19,9,1,<1
5/5/19,12,1,<1
5/12/19,19,2,<1
5/19/19,13,1,<1
5/26/19,15,1,<1
6/2/19,12,1,<1
6/9/19,11,1,<1
6/16/19,17,1,<1
6/23/19,25,1,<1
6/30/19,17,1,<1
7/7/19,16,2,<1
7/14/19,16,3,<1
7/21/19,13,1,<1
7/28/19,12,1,<1
8/4/19,15,1,<1
8/11/19,13,1,<1
8/18/19,12,1,<1
8/25/19,11,1,<1
9/1/19,11,1,<1
9/8/19,10,1,<1
9/15/19,9,1,<1
9/22/19,12,1,<1
9/29/19,10,1,<1
10/6/19,9,1,<1
10/13/19,9,<1,<1
10/20/19,11,1,<1
10/27/19,10,1,<1
11/3/19,9,1,<1
11/10/19,9,1,<1
11/17/19,10,1,<1
11/24/19,10,1,<1
12/1/19,9,1,<1
12/8/19,8,1,<1
12/15/19,9,1,<1
12/22/19,8,1,<1
12/29/19,9,1,<1
1/5/20,11,1,<1
1/12/20,11,1,<1
1/19/20,10,1,<1
1/26/20,10,1,<1
2/2/20,11,1,<1
2/9/20,12,2,<1
2/16/20,11,1,<1
2/23/20,11,1,<1
3/1/20,10,1,<1
3/8/20,19,1,<1
3/15/20,20,1,<1
3/22/20,14,1,<1
3/29/20,13,1,<1
4/5/20,13,1,<1
4/12/20,12,1,<1
4/19/20,12,1,<1
4/26/20,15,1,<1
5/3/20,18,1,<1
5/10/20,21,1,<1
5/17/20,14,1,<1
5/24/20,12,1,<1
5/31/20,12,1,<1
6/7/20,11,1,<1
6/14/20,11,1,<1
6/21/20,11,1,<1
6/28/20,10,1,<1
7/5/20,9,1,2
7/12/20,11,1,1
7/19/20,10,2,<1
7/26/20,16,3,<1
8/2/20,15,3,<1
8/9/20,13,2,<1
8/16/20,13,2,<1
8/23/20,11,1,<1
8/30/20,12,2,<1
9/6/20,11,2,<1
9/13/20,9,1,<1
9/20/20,9,1,<1
9/27/20,8,1,<1
10/4/20,9,1,<1
10/11/20,9,1,<1
10/18/20,13,1,<1
10/25/20,14,1,<1
11/1/20,15,1,<1
11/8/20,16,2,<1
11/15/20,22,2,<1
11/22/20,24,4,<1
11/29/20,21,3,<1
12/6/20,16,2,<1
12/13/20,27,3,<1
12/20/20,28,3,1
12/27/20,41,5,1
1/3/21,65,12,3
1/10/21,65,9,1
1/17/21,42,8,1
1/24/21,39,8,25
1/31/21,35,10,19
